catalyst,hydrothermal_synthesis_time_min,energy_band_gap_eV,C_%,O_%,Fe_%,Al_%,Ni_%,Mo_%,S_%,Bi,Ag,Pd,Pt,surface_area_m2/g,pore_volume_cm3/g,pore_size_nm,volume_l,loading_g,light_intensity_watt,light_source_dist_cm,time_m,dye,log_kw,hydrogen_bonding_accep_count,hydrogen_bonding_donor_count,solubility_g/l,molecular_wt_g/M,pka1,pka2,dye_conc_mg/l,solution_ph,ha_mg/l,anions,final_concentration_mg/l,k_1st,k_2nd,efficiency_%,_trajectory_id,_time_numeric,_endpoint_rows,_dye_norm,_catalyst_norm,_matrix_stressed,_matrix_domain
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,30,11.0,0,N/A,0.951724138,0.01997154849035994,0.006654589371498459,95.0,17,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,40,11.0,0,N/A,2.861065287,0.012633721219413297,0.0019798928613954203,84.96904106576312,18,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,50,11.0,0,N/A,6.157574713,0.007523794878440007,0.0007324358031521861,67.65042270578621,19,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,60,11.0,0,N/A,10.27872561,0.004107839546130358,0.000298347288936315,45.99944879195656,20,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,80,11.0,0,N/A,12.53912644,0.002782655636445264,0.00018142760178455397,34.12415457723738,21,150,3,indigo,lm1,False,controlled
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0.0,0.0,0.0,0.0,77.0,0.1496,7.71,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,100,11.0,0,N/A,14.58724138,0.0017740329852335506,0.00010677883879514228,23.364130436712742,22,150,3,indigo,lm1,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,10.95551724,0.003682726863066091,0.00025827985212880885,42.443840591127255,23,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,9.96645977,0.004313511891419323,0.0003186686610171554,47.6399758498087,24,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,8.700091954,0.005219457475554105,0.00041603387994501194,54.292995172515,25,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,1.162194724,0.01332902953581889,0.0038730950084815523,93.89426684899317,26,210,8,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,35,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,5.329655172,0.0060617413141094804,0.0006433007986677992,72.0000000042029,27,210,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,70,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,3.860689655,0.0075971732464141205,0.0009832611766099374,79.71739130672337,28,210,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,16,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,1.945747126,0.010860029459867688,0.002197167462385253,89.77777778081321,29,210,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,23,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,1.99862069,0.010732356803450211,0.0021324230171232373,89.49999999894928,30,210,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.01,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,5.42545977,0.00837430922928786,0.0008809851264840633,71.49667874663068,31,150,6,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.03,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.190344828,0.03070113455924428,0.034673912967364176,98.99999999789854,32,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.04,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.181508046,0.031018050080295834,0.036379076044089444,99.04642512072127,33,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.05,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.206298851,0.03016454429894947,0.031965336724931945,98.91618357272347,34,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,10,11.0,0,N/A,0.196689655,0.03048253576076095,0.033544101634847834,98.96666666764735,35,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,30,11.0,0,N/A,3.103448276,0.012091589173165664,0.0017979066021843353,83.69565217436988,36,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,40,11.0,0,N/A,4.357701149,0.009828717049706202,0.0011796170742429828,77.10628019712998,37,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,50,11.0,0,N/A,7.940229885,0.005828733258349221,0.0004893647077567296,58.28502415791412,38,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,60,11.0,0,N/A,11.99172414,0.003080236396643264,0.00020569741577180546,36.999999993695646,39,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,80,11.0,0,N/A,12.58942529,0.0027559667832145083,0.00017930341056125306,33.859903372546384,40,150,3,indigo,lm15,False,controlled
LM1.5,1320,2.74,18.63,40.11,9.95,10.67,12.95,1.79,5.9,0.0,0.0,0.0,0.0,92.21,0.175,7.6,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,100,11.0,0,N/A,15.60840552,0.0013229508788791021,7.68787424996333e-05,17.999318832029036,41,150,3,indigo,lm15,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,5.0,0,N/A,10.34482759,0.004065103808844609,0.00029420289833980817,45.65217389705419,42,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,7.0,0,N/A,8.817398851,0.005130168697952866,0.00040583933232745425,53.67670893832053,43,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,9.0,0,N/A,7.251816092,0.006433335222779815,0.0005690684010594573,61.90169082377523,44,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,2.5805517245000003,0.009516652628942118,0.0015960480892164282,86.44275362226864,45,210,8,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,35,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,6.084,0.005431380199838278,0.0005325205576222981,68.0369565240553,46,210,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,70,9,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,5.183103448,0.006194515325036418,0.0006685636664424617,72.76992753965435,47,210,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,16,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,2.344827586,0.009971620672674703,0.0017806397923460615,87.68115942226947,48,210,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,23,210,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,2.982850575,0.008825584782258098,0.0013462549925764022,84.329227052766,49,210,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.01,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,6.6591448275000005,0.007017236378613949,0.000655552714064188,65.01536232182859,50,150,6,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.03,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,1.904689655,0.015346220878779834,0.0031498912181050468,89.99347826250047,51,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.04,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,0.784827586,0.021256956249033662,0.008144193137097388,95.87681159558863,52,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.05,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,20,11.0,0,N/A,1.011494253,0.019565490136096417,0.006240667544216888,94.68599033788509,53,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,10,11.0,0,N/A,0.793103448,0.021187025538454904,0.008055555558504693,95.83333333508453,54,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,30,11.0,0,N/A,3.426206897,0.011431989520223687,0.0015955448199532994,81.99999999894926,55,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,40,11.0,0,N/A,4.75862069,0.009241962407465937,0.00105072463760502,75.0,56,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,50,11.0,0,N/A,8.755862069,0.005176858597116812,0.0004111531191150088,54.000000003152174,57,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,60,11.0,0,N/A,12.74804598,0.0026724947531614057,0.00017271441751034455,33.02657003746184,58,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,80,11.0,0,N/A,14.65655172,0.0017424317632613185,0.00010461760477140314,23.00000002731884,59,150,3,indigo,lm2,False,controlled
LM2,1320,2.66,14.52,33.0,9.03,10.08,13.13,3.0,17.24,0.0,0.0,0.0,0.0,19.54,0.0956,18.98,0.02,0.02,105,9,150,Indigo,3.0606,9,2,10,466.36,8.0,12.7,100,11.0,0,N/A,16.17931034,0.0010834595324574594,6.180733177663054e-05,15.000000031521735,60,150,3,indigo,lm2,False,controlled
no catalyst,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,9.79,7.860799308303557e-05,7.94500940571635e-06,2.0999999999999996,61,270,2,melachitegreen,nocatalyst,False,controlled
pure BFO,720,2.6,0.0,31.6,13.1,0.0,0.0,0.0,0.0,55.3,0.0,0.0,0.0,11.2,0.0028,1.15,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,2.79,0.0047279388783732276,0.0009571219965485197,72.1,62,270,3,melachitegreen,purebfo,False,controlled
0.5 wt% Pd-BFO,960,2.28,0.0,31.35,13.0,0.0,0.0,0.0,0.0,55.16,0.0,0.49,0.0,13.4,0.0033,1.48,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,1.98,0.0059981046232874145,0.0015001870557426115,80.19999999999999,63,270,3,melachitegreen,05wtpdbfo,False,controlled
1 wt% Pd-BFO,960,2.2,0.0,29.17,13.99,0.0,0.0,0.0,0.0,55.83,0.0,1.01,0.0,16.7,0.0037,1.82,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,1.47,0.007101195156308891,0.002149155958679768,85.3,64,270,3,melachitegreen,1wtpdbfo,False,controlled
2 wt% Pd-BFO,960,2.1,0.0,26.1,16.99,0.0,0.0,0.0,0.0,54.9,0.0,2.01,0.0,22.9,0.0046,2.67,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.37,0.01221050876421449,0.009639639639639638,96.30000000000001,65,270,3,melachitegreen,2wtpdbfo,False,controlled
3 wt% Pd-BFO,960,2.22,0.0,25.84,16.65,0.0,0.0,0.0,0.0,54.46,0.0,3.05,0.0,19.5,0.0042,2.34,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.99,0.008565316403139064,0.0033707444818555934,90.10000000000001,66,270,3,melachitegreen,3wtpdbfo,False,controlled
1 wt% Ag-BFO,960,2.5,0.0,28.98,14.99,0.0,0.0,0.0,0.0,55.19,0.84,0.0,0.0,11.9,0.0028,1.27,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,2.55,0.005061080495643374,0.0010820624546114745,74.5,67,270,3,melachitegreen,1wtagbfo,False,controlled
2 wt% Ag-BFO,960,2.45,0.0,31.4,12.5,0.0,0.0,0.0,0.0,54.7,1.4,0.0,0.0,14.6,0.0032,1.44,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,2.07,0.0058334684656176595,0.0014188584719985688,79.3,68,270,3,melachitegreen,2wtagbfo,False,controlled
3 wt% Ag-BFO,960,2.3,0.0,30.89,12.36,0.0,0.0,0.0,0.0,53.98,2.77,0.0,0.0,17.8,0.0039,1.94,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,1.42,0.007229363782892135,0.002237871674491393,85.8,69,270,3,melachitegreen,3wtagbfo,False,controlled
4 wt% Ag-BFO,960,2.53,0.0,30.69,12.02,0.0,0.0,0.0,0.0,53.6,3.69,0.0,0.0,15.1,0.0033,1.81,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,2.71,0.004835690585564579,0.000996309963099631,72.89999999999999,70,270,3,melachitegreen,4wtagbfo,False,controlled
0.25 wt% Pt-BFO,960,2.5,0.0,26.82,17.43,0.0,0.0,0.0,0.0,55.51,0.0,0.0,0.24,13.5,0.003,1.53,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,1.32,0.007499827245910245,0.002435465768799102,86.8,71,270,3,melachitegreen,025wtptbfo,False,controlled
0.5 wt% Pt-BFO,960,2.45,0.0,26.75,17.35,0.0,0.0,0.0,0.0,55.4,0.0,0.0,0.5,19.5,0.0039,2.02,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.62,0.010298595903470539,0.0056033452807646355,93.80000000000001,72,270,3,melachitegreen,05wtptbfo,False,controlled
1 wt% Pt-BFO,960,2.35,0.0,26.52,17.27,0.0,0.0,0.0,0.0,55.2,0.0,0.0,1.01,17.8,0.0035,1.87,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.65,0.010123585218838889,0.005327635327635327,93.5,73,270,3,melachitegreen,1wtptbfo,False,controlled
2 wt% Pt-BFO,960,2.3,0.0,26.1,17.0,0.0,0.0,0.0,0.0,54.9,0.0,0.0,2.0,16.4,0.0034,1.81,0.1,0.1,105,12,270,Melachite Green,1.3976,2,0,40,364.911,6.9,10.3,10,5.45,0,N/A,0.66,0.010067039025761894,0.005241301907968574,93.39999999999999,74,270,3,melachitegreen,2wtptbfo,False,controlled
