_condition_signature,Adsorbent,Pollutant,Capacity,oof_prediction,oof_absolute_error,oob_predicted_risk,fold,rf_tree_std,nn_distance_mean,local_label_std,nearest_source_label_gap,domain_target_probability,log_target_source_odds,unsupported_flag,absolute_prediction
16194911679066073778,NaOH-activated SCW biochars,NPX,174.6705689,183.59139659917426,8.920827699174254,17.042695872186258,3,9.252616067055929,2.4533817900018855,57.81115029840591,118.39715180917426,0.6788140049351064,0.7483267858422894,0.0,183.59139659917426
12027180648520418897,NaOH-activated SCW biochars,NPX,171.3788888,185.17055418807715,13.79166538807715,16.62269689871842,1,3.786069830070604,3.4623309967475167,71.44433365765589,133.24353143807716,0.6778185670069142,0.7437648084815983,0.0,185.17055418807715
14578678662863299839,NaOH-activated SCW biochars,DCF,118.9174435,87.95034915675087,30.96709434324913,14.065950482837641,3,3.765471087494489,2.3450540456835443,32.999415712984884,108.83139824324913,0.7230298908438649,0.9595409729223389,0.0,87.95034915675087
13244999927062172935,NaOH-activated SCW biochars,DCF,87.55866613,92.88972787868975,5.3310617486897485,15.02135221460928,4,7.525577957478256,2.3204281889743084,28.96834482543675,81.78084102131025,0.6635645459499461,0.6792198149662926,0.0,92.88972787868975
9608873068191408344,NaOH-activated SCW biochars,DCF,80.01233269,87.91489477733087,7.902562087330878,16.186276114337712,3,3.852454518272171,3.457320309031137,59.33356571025849,35.98787202733087,0.6595427664963255,0.6612572983098214,0.0,87.91489477733087
11060130621897919519,NaOH-activated SCW biochars,IBU,110.1641806,69.25667168626416,40.90750891373584,13.548113938306155,5,4.209331731595356,2.4484804774395,52.371152345597395,49.66077181373585,0.7494845186993009,1.095864941609846,0.0,69.25667168626416
1679362861371580711,NaOH-activated SCW biochars,IBU,65.19424479,74.23341470587164,9.03916991587164,16.29536544427805,3,8.538990877325011,2.4105828559071805,52.76454513417776,100.43715419412837,0.761989614599707,1.1636186176043952,0.0,74.23341470587164
14718507175210602104,NaOH-activated SCW biochars,IBU,51.92702275,75.83952552284264,23.912502772842636,11.64131103636898,1,7.417512984859119,3.463316634652641,58.51389841383859,4.172807167157359,0.7825153757834286,1.2803854170120352,0.0,75.83952552284264
11951203962836210888,NaOH-activated SCW biochars,NPX,190.729034,183.59588456982428,7.1331494301757346,9.295200543797181,3,9.207233372031874,1.3903769701534383,52.952083387983286,8.216730430175716,0.7110940461098046,0.9007034779784178,0.0,183.59588456982428
12677758060632403951,NaOH-activated SCW biochars,NPX,191.812615,191.11512713683547,0.6974878631645254,5.854379339996767,5,4.951311680306007,1.4430964126338575,50.30326506484481,0.38609313683545565,0.6942855253938535,0.8202317189417572,0.0,191.11512713683547
