_cross_domain_signature,source_capacity,source_replicates,source_capacity_std,source_capacity_spread,target_capacity,target_replicates,target_capacity_std,target_capacity_spread,capacity_shift,absolute_capacity_shift
15623530893936147813,92.89581855,3,12.67729499226648,24.491375540000007,81.93930885,3,1.2202759735897664,2.4086860599999937,-10.956509699999998,10.956509699999998
10930103189113536160,98.33483822,3,9.635885298730775,17.18527356,82.83055081,3,0.48377474881491084,0.9164002600000032,-15.50428740999999,15.50428740999999
6383588644189169924,98.53143789,3,4.97155176919039,9.327023499999996,82.6411851,3,0.41886197270712455,0.8300395999999921,-15.890252790000005,15.890252790000005
6201870339659061428,92.52561308,12,7.776416118390369,23.114966600000002,77.22438452,15,10.272856265847588,39.63572226000001,-15.301228559999998,15.301228559999998
9118276425417417370,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
13515343038612849874,71.26186908,3,34.984874766381104,66.98196844,38.20195295,3,0.3659551890774128,0.673115580000001,-33.05991613,33.05991613
16002516341922887779,73.30368092,3,1.1370323045867072,2.0212563000000046,49.12704629,3,3.250022963021562,6.185347639999996,-24.176634630000002,24.176634630000002
13705049281747097961,79.17594846,3,8.856176269095728,17.667205210000006,62.99284614,3,0.243779493752597,0.48751990999999606,-16.183102320000003,16.183102320000003
15109454423716139156,79.91301527,3,10.310015062059042,20.581888020000008,65.00045691,3,3.881244514054734,6.742539359999995,-14.912558360000006,14.912558360000006
7198551348944811973,68.49643457,3,12.036235371328315,21.994264169999994,65.18409441,3,2.135982585550552,3.762760759999999,-3.312340160000005,3.312340160000005
12841015315691303488,75.44196368,3,8.562027948140813,16.332275709999998,65.30178063,3,2.0053529723469508,3.8651993499999975,-10.140183050000005,10.140183050000005
2555793630376993380,79.93079374,3,4.568703157681563,8.37904476,65.65806376,3,2.74507137294339,5.071421110000003,-14.272729979999994,14.272729979999994
7339937520178522516,73.65280341,12,7.134742140981697,22.9332651,65.65332219000001,12,4.902019083895888,13.244266330000002,-7.999481219999993,7.999481219999993
18259257662316553928,64.2882987,3,0.004680229285240621,0.008801890000000867,64.8903021,3,0.06423485716208689,0.11265253999999914,0.602003400000001,0.602003400000001
10746897135169808876,130.2845151,3,0.3752350948540652,0.7160342999999898,126.0338032,3,0.13512206890704,0.2687215999999921,-4.250711899999999,4.250711899999999
1965887346303090451,246.5544737,3,7.634676297914795,14.837323700000013,225.3867619,3,2.769780368677622,5.2262197000000015,-21.167711799999978,21.167711799999978
8795779855184611269,266.2126217,3,0.9739097310018793,1.7952172999999902,253.7893399,3,7.373442589271933,13.929293700000017,-12.423281800000012,12.423281800000012
12303629800508652178,62.57653284,3,0.39489895302968786,0.7820078600000002,54.75327727,3,0.7919255165770014,1.4739921800000033,-7.823255570000001,7.823255570000001
13158167679119574142,93.21063911,3,4.41899227859944,7.7885111199999955,77.09472432,3,8.123189982291946,16.158931859999996,-16.115914790000005,16.115914790000005
4789693125238229873,100.369383,3,2.985251091902799,5.960015909999996,92.0230423,3,4.84786474220014,9.68887703,-8.346340699999999,8.346340699999999
7632814692259121583,87.88959852,3,4.435684545232388,8.010911179999994,95.69277177,3,11.804464303422007,21.737355590000007,7.803173249999986,7.803173249999986
14858936633556424690,59.62634316,3,0.7548308897995877,1.4937457699999968,52.90707681,3,0.8961606413789279,1.6037947499999987,-6.719266349999998,6.719266349999998
4538445784081728990,70.38856734,3,4.815558517013483,9.546373309999993,66.76808811,3,10.461715427225217,18.545054730000004,-3.620479230000001,3.620479230000001
14342196852316335761,82.90389308,3,12.74727535745552,25.475321649999998,70.35687624,3,5.536540334511678,9.855371140000003,-12.547016839999998,12.547016839999998
12692294455677837647,66.17053164,3,4.938264143934977,8.642237469999998,73.29670399,3,0.85541495608449,1.4863020199999966,7.1261723500000045,7.1261723500000045
6121369312763242576,196.7817474,3,0.8412500248875481,1.674346600000007,190.595886,3,2.8517547573249664,5.691406100000023,-6.185861399999993,6.185861399999993
6227085730271168273,184.8805772,6,7.346941005046794,21.890465500000005,172.0266924,9,5.2540772517331185,18.136382699999984,-12.853884800000003,12.853884800000003
4824154829753263432,174.6705689,3,6.0726534578062505,11.143650199999996,152.656609,3,4.24740555145531,7.880200699999989,-22.013959900000003,22.013959900000003
13997942976201436343,171.3788888,3,4.221736245558917,8.299037300000009,145.3785096,3,4.758363152208212,9.471490399999993,-26.000379199999998,26.000379199999998
17671362315167039981,118.9174435,3,3.543005258537745,6.920711900000001,96.67411867,3,6.012469622893867,11.945826999999994,-22.243324830000006,22.243324830000006
13327102405367135589,87.55866613,3,7.966663720412959,15.68092858,62.75924066,3,0.7742707888520197,1.5485287700000043,-24.799425470000003,24.799425470000003
7562648294249769078,80.01233269,3,3.163437355207018,6.321657979999998,51.973701,3,2.1902943543581648,4.2090565100000035,-28.038631689999995,28.038631689999995
360511175814646349,110.1641806,3,5.421220183414184,10.472061199999999,94.31416328,3,5.267430613232705,9.218079619999997,-15.850017319999992,15.850017319999992
13538447718150376005,65.19424479,3,6.3297113845218735,12.115670970000004,50.22163876,3,1.1438262795523872,2.259758439999999,-14.972606030000001,14.972606030000001
6164351067591426134,51.92702275,3,1.6792514133830807,2.9667636,38.06104336,3,0.961021659047713,1.7744325800000027,-13.86597939,13.86597939
12131334819609460550,190.729034,3,1.6733900304804357,3.0449516000000187,177.1620054,3,4.715130985609718,9.308853,-13.567028600000015,13.567028600000015
10012316496751475497,191.812615,3,2.0584869511521235,3.903101100000015,179.105641,3,3.4468644614110535,6.8508216000000175,-12.706974000000002,12.706974000000002
10910916810473753198,192.0140311,3,4.252284980228866,8.449662900000021,186.0584129,3,7.438969215057984,13.851656899999995,-5.9556182000000035,5.9556182000000035
17384663876044263906,193.8653434,3,0.8129541233507632,1.5007669000000021,181.2017167,3,1.210239802275816,2.250474099999991,-12.663626700000009,12.663626700000009
15386933908955545436,192.8813951,3,5.464341075500613,10.554898999999978,182.9370612,3,11.377206925403453,19.882395400000007,-9.944333900000004,9.944333900000004
6991625221926194153,180.7634297,3,3.1985652451129147,5.917324600000001,167.0779885,3,0.2429932372428184,0.43917170000000283,-13.685441199999985,13.685441199999985
10224810051058977873,187.8359454,3,1.6412517672923443,3.0767945999999995,181.832546,3,5.950940383356051,10.627278800000028,-6.003399400000006,6.003399400000006
13826167484653324492,76.76053759,3,2.829085164403581,5.542463670000004,72.89459636,3,2.5490147465872695,5.031021969999998,-3.8659412300000042,3.8659412300000042
6338192421362953972,109.9616436,3,10.341479882730804,20.246344699999995,87.78495046,3,7.335083824556933,14.402876059999997,-22.176693139999998,22.176693139999998
7379239428958632556,61.92134518,3,2.528867053529732,5.044539080000007,57.641649,3,7.230254832901161,12.957789580000004,-4.279696180000002,4.279696180000002
11734719218080507220,85.17352158,3,7.4576921120463044,14.408973939999996,69.79127526,3,2.386192555932204,4.676741159999992,-15.382246319999993,15.382246319999993
