Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,540,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,14871431238927427911,3,5.250615006,5.173739237333333,0.3522890290229144,4.789360394,5.481242312,0.691881918,0.369926199
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,17525109609069475328,6,5.4043665435,5.2910363401666665,0.43998435419530546,4.507710558,5.693950178,1.1862396199999994,0.35147601500000003
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,30,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,1514574243803737969,3,6.03259381,6.078243403666666,0.20919271842147683,5.895645029,6.306491372,0.4108463430000002,0.276088743
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,60,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,10165590335124184326,2,6.409202958,6.409202958,0.14525611793405033,6.306491372,6.511914544,0.2054231719999997,0.23089564499999998
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,120,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,5016250197719449952,3,6.785812106,6.762987309333333,0.3087681291760446,6.443440153,7.059709669,0.616269516,0.185702547
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,180,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,15920915165548103005,3,6.922760887,6.854286496666667,0.18116620862870628,6.648863325,6.991235278,0.3423719530000007,0.169268694
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,360,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,8607231739404609168,3,6.991235278,6.968410481333334,0.10459635942895613,6.854286497,7.059709669,0.2054231719999997,0.161051767
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,540,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,6519590476496403668,3,7.059709669,7.036884872000001,0.17232343737526512,6.854286497,7.19665845,0.3423719529999998,0.15283484
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,1.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,14750004714216159595,12,7.0231088445,7.031839274416666,0.20958391188469447,6.580388935,7.356781803,0.7763928679999994,0.157226939
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,0.5,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,4638699997237969674,3,3.419409762,3.293290452666666,0.30406264242382014,2.946462353,3.513999243,0.5675368900000004,0.089670829
