Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,10.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,11244992506998715429,3,15.20226846,15.170205923333334,0.07255603936385514,15.08714202,15.22120729,0.13406527000000068,9.239886577,17896087149270429276
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,1.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,8890193441200262223,3,0.815354498,0.8098838186666667,0.12996589608967918,0.677268966,0.937027992,0.259759026,0.959232275,2815045508866502930
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,3.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,1545384963025979106,3,4.684486064,4.4446103856666666,0.436831638130185,3.940398394,4.708946699,0.7685483050000004,2.765775697,14028179207120753829
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,5.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,14765858289654558428,3,8.17978163,8.240943981333333,0.2234664732075343,8.054426931,8.488623383,0.4341964520000001,4.591010918,7182392752066015347
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,7.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,14932595877372705509,3,11.59026418,11.54635075,0.17816025014855333,11.35034007,11.698448,0.3481079300000012,6.420486791,6456944957442971164
CB,700,90,85.7,1.8,3.2,3.7,0.080513419,5.6,0.252,0.028,0.037,9.4,0.011,4.9,IBU,1440,10.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,17710968229733482981,3,16.57955559,16.50717471333333,0.83987298074593,15.63345375,17.3085148,1.6750610500000018,9.17102222,15493325471333818140
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1440,1.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,7562884450302427597,1,0.195862681,0.195862681,0.0,0.195862681,0.195862681,0.0,0.990206866,10175381859925239414
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1441,3.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,15534367458492339082,1,3.849845607,3.849845607,0.0,3.849845607,3.849845607,0.0,2.80750772,9183841226837216903
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1442,5.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,1547353342600074885,1,7.287614281,7.287614281,0.0,7.287614281,7.287614281,0.0,4.635619286,3398223803949094470
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1443,7.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,295427787878208187,1,10.43542352,10.43542352,0.0,10.43542352,10.43542352,0.0,6.478228824,14784232256686684284
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1444,10.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,1349321994110591645,1,14.46074795,14.46074795,0.0,14.46074795,14.46074795,0.0,9.276962603,7335203817937681878
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1445,1.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,2798174891480595346,1,0.207527902,0.207527902,0.0,0.207527902,0.207527902,0.0,0.989623605,9859338521623821799
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1446,3.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,12093534062081831163,1,3.711033522,3.711033522,0.0,3.711033522,3.711033522,0.0,2.814448324,8774401393520822948
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1447,5.0,7,150,0.05,0.05,15,0.0,0,Ground water,Single,10880365496602827698,1,7.032480978,7.032480978,0.0,7.032480978,7.032480978,0.0,4.648375951,10297784739301132815
