Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,5,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,2431818629244494460,3,21.49577512,20.918093443333337,1.1847717132015994,19.55528942,21.70321579,2.1479263700000004,26.77563373,6980173315963619956
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,14632511503543224213,9,18.26438455,18.715130643333335,0.9369419079495462,17.82823797,20.66333153,2.8350935600000007,27.26034232,13098093264770999469
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,9,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,10158343563720824836,3,17.26357285,17.22389665,0.09304306999208228,17.11759259,17.29052451,0.1729319199999999,27.41046407,16871025278348489500
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,11,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8860467251718062619,3,16.13579508,15.994429660000002,0.3165028531349215,15.63188068,16.21561322,0.5837325400000015,27.57963074,17341346626665439523
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,5,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,7708639079549094677,3,21.75317842,21.724804423333335,0.5089387188493394,21.20227226,22.21896259,1.0166903299999994,26.73702324,5370958945688439817
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,9,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,15693684484887973741,3,19.16141715,18.942807456666667,0.37971272327030736,18.50435355,19.16265167,0.6582981199999978,27.12578743,11458264218181395617
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,11,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,12068268132093545302,3,17.98311701,17.94666751666667,0.0823859634203891,17.852344,18.00454154,0.15219754000000307,27.30253245,15057477215985269946
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,5,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,3805779553248948725,3,22.89928752,22.506153389999998,1.6938392942546747,20.65031669,23.96885596,3.3185392699999987,26.56510687,6537491400831065065
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,9,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8203542750957706445,3,18.5045802,18.617327173333333,0.21582257673911492,18.48122865,18.86617267,0.3849440200000025,27.22431297,7183166703013568513
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,11,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,8619013912121469110,3,17.26124304,17.092154993333335,0.4852017821057891,16.54503374,17.4701882,0.9251544599999981,27.41081354,11229639457330036890
