Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,5,160,0.05,0.15,25,0.0,0,Lake water,Single,13460432265287287620,3,16.12273579,16.936621936666665,1.476663190519253,16.04598026,18.64114976,2.595169500000001,27.58158963,6980173315963619956
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.0,0,Lake water,Single,1047462354771481853,6,15.137365115,15.170224001666666,0.42216132978270043,14.60245983,15.86299447,1.2605346399999995,27.72939523,13098093264770999469
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,9,160,0.05,0.15,25,0.0,0,Lake water,Single,11643009746185956924,3,13.19496083,13.183285410000002,0.05434620830669526,13.12405038,13.23084502,0.10679464000000038,28.02075588,16871025278348489500
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,11,160,0.05,0.15,25,0.0,0,Lake water,Single,10005146382352975235,3,13.69478026,13.81373087,0.4449438670037317,13.44035157,14.30606078,0.8657092099999986,27.94578296,17341346626665439523
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,5,160,0.05,0.15,25,0.0,0,Lake water,Single,12111026322542349949,3,17.83137844,18.45739571,1.3554278352093168,17.52812362,20.01268507,2.484561450000001,27.32529323,5370958945688439817
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,9,160,0.05,0.15,25,0.0,0,Lake water,Single,515999279121281285,3,14.63109228,14.679371453333333,0.8924488648824095,13.81204213,15.59497995,1.7829378200000008,27.80533616,11458264218181395617
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,DCF,1440,30.0,11,160,0.05,0.15,25,0.0,0,Lake water,Single,2236800564703252766,3,14.07863103,14.064761599999999,0.02527197043296658,14.03559174,14.08006203,0.044470290000001356,27.88820535,15057477215985269946
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,5,160,0.05,0.15,25,0.0,0,Lake water,Single,14145455791997218909,3,20.34218255,20.518290956666668,0.33911442682260085,20.3034624,20.90922792,0.6057655199999985,26.94867262,6537491400831065065
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,9,160,0.05,0.15,25,0.0,0,Lake water,Single,15368989010209991013,3,14.57192725,14.455565,0.20524877746605044,14.21857691,14.57619084,0.3576139300000012,27.81421091,7183166703013568513
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,11,160,0.05,0.15,25,0.0,0,Lake water,Single,3656096480025640062,3,13.04317162,13.194844063333333,0.31862980596623547,12.98038465,13.56097592,0.5805912700000011,28.04352426,11229639457330036890
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.025,0,Lake water,Single,13834514112846599910,3,15.16815241,15.160609543333335,0.08671958934328207,15.0703649,15.24331132,0.1729464200000006,27.72477714,14460135710331119362
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.05,0,Lake water,Single,7541925338719544901,3,15.04282343,14.89340367,0.7885469181171932,14.04083677,15.59655081,1.5557140399999998,27.74357649,13386038250827251893
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.075,0,Lake water,Single,17921206181751419838,3,15.71492368,15.766421966666668,0.5849750872797939,15.20889862,16.3754436,1.1665449800000012,27.64276145,9212115034082343674
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,NPX,1440,30.0,7,160,0.05,0.15,25,0.1,0,Lake water,Single,11187653991861819706,3,16.73687875,16.770112276666666,0.19417950539594034,16.59469433,16.97876375,0.38406941999999944,27.48946819,17015321267674426022
