_input_signature,n_rows,target_unique,target_min,target_max,target_spread
717800057698209228,3,3,14.5572457,18.45817055,3.900924849999999
741865231698718314,3,3,2.899564677,3.832400498,0.9328358210000003
745282393733214055,3,3,26.97497101,27.18703634,0.21206532999999794
756346644715971971,2,2,1.131532081,1.140544089,0.009012008000000016
776204904542655447,3,3,17.36381929,19.45713927,2.0933199800000004
779431730458366838,1,1,101.0382003,101.0382003,0.0
798606921766426585,2,2,6.294471812,6.362889984,0.06841817199999944
845630297325434456,3,1,53.33333333,53.33333333,0.0
852043111923116922,3,3,151.4639055,159.3441062,7.880200699999989
857291316126879820,3,3,3.815025377,4.041356091,0.22633071399999993
870809365627718684,3,3,21.19296471,22.40377048,1.2108057700000003
885365105127333810,3,3,344.1461312,349.0089047,4.862773500000003
899458601566528766,3,3,193.9705997,194.233822,0.26322229999999536
909323058553581409,3,3,17.47684845,21.9569327,4.480084250000001
919380948240731149,3,3,66.96535995,67.02130006,0.05594010999999455
929370640592197456,1,1,87.79267887,87.79267887,0.0
929678609892177337,2,2,1.979206713,2.224186404,0.24497969100000017
948275424414011875,9,9,6.889439478,7.806553361,0.9171138829999999
962552806549531811,3,3,123.7077217,125.1954623,1.4877406000000093
969838696704097738,3,3,4.145693512,4.5651566,0.41946308799999965
972169340502199595,3,3,236.0124778,250.8498015,14.837323700000013
1002991668870794336,3,3,19.32013209,20.16106497,0.8409328800000004
1004080232524795647,1,1,49.82836384,49.82836384,0.0
1008114096097864608,3,3,12.99450491,13.18946912,0.1949642100000002
1009208769736388725,2,2,163.4521926,169.4965645,6.044371900000016
1047462354771481853,9,6,14.60245983,15.86299447,1.2605346399999995
1076753422912446536,1,1,18.67298457,18.67298457,0.0
1131363245509232367,3,3,9.800176287,10.2127546,0.4125783130000009
1177173978187697386,1,1,67.63037879,67.63037879,0.0
1179880397936398560,3,3,450.0513001,478.126205,28.074904900000035
1184333014513324777,3,3,18.66003392,20.06424633,1.4042124099999995
1199526145674483820,3,3,49.70736239,50.92006946,1.2127070700000004
1204153542566563531,1,1,113.8856342,113.8856342,0.0
1214539223634647286,3,1,0.0,0.0,0.0
1215250801037100964,1,1,84.16060869,84.16060869,0.0
1215973723376915305,3,3,192.9613763,193.2557458,0.29436949999998774
1220702087704620008,3,3,1.627016569,1.931087873,0.30407130400000004
1249904749956654510,3,2,10.91016939,10.96086744,0.050698049999999384
1264357638971132335,3,3,22.15713695,22.56252039,0.4053834399999978
1268458492521082915,3,3,1.956224434,2.179534491,0.22331005700000017
1288203274122541784,1,1,13.97192193,13.97192193,0.0
1300237600870332219,3,3,157.862969,158.8919507,1.0289817000000028
1309509411171930483,3,3,19.40928321,19.89751091,0.4882276999999995
1320219283924172994,3,3,90.8839765,100.211,9.327023499999996
1321739968319666973,3,3,195.1639636,195.3558263,0.1918627000000015
1327007414464515819,3,3,56.8931016,60.73199747,3.8388958700000018
1337225022978830365,3,3,7.028374561,9.126171231,2.097796670000001
1339196494779022373,3,3,16.93469605,17.19657186,0.2618758099999994
1349321994110591645,1,1,14.46074795,14.46074795,0.0
1372247388430120506,3,3,192.1029685,192.5726855,0.4697170000000028
1427241728245223834,3,1,93.33333333,93.33333333,0.0
1434047947901245121,1,1,19.44918292,19.44918292,0.0
1448967503783819399,2,2,213.3333333,217.7777778,4.444444500000003
1464976994540711640,12,12,1.216063501,1.854752198,0.6386886969999999
1466547227564275352,3,3,74.03400617,78.99168829,4.957682120000001
1489291946431679761,3,3,39.78564456,39.83920447,0.053559909999997046
1490316425837309541,3,3,10.23679976,10.7922356,0.5554358399999995
1493938708650295700,3,3,7.663942597,7.982073602,0.3181310049999997
1502419750140885639,3,3,85.28836766,94.50644728,9.218079619999997
1505112194037230266,3,3,8.376048462,8.830382106,0.4543336440000001
1514574243803737969,3,3,5.895645029,6.306491372,0.4108463430000002
1545384963025979106,3,3,3.940398394,4.708946699,0.7685483050000004
1547353342600074885,1,1,7.287614281,7.287614281,0.0
1551655804826946544,3,3,137.6983484,159.1299781,21.431629700000002
1552924646859635109,3,3,14.76476548,16.20769305,1.4429275700000002
1556186754524544729,1,1,0.507295893,0.507295893,0.0
1574452326010875085,3,3,18.81558832,19.01567403,0.20008570999999975
1574703652461694556,1,1,180.1544292,180.1544292,0.0
1576926578540372023,3,3,3.242835596,3.996983409,0.7541478129999999
1577968485420020185,3,1,-13.33333333,-13.33333333,0.0
1581374153419788761,3,3,16.77141363,19.62219661,2.850782979999998
1609166413684491409,3,3,43.67701439,48.67242878,4.9954143900000005
1619834012639716208,3,3,15.8389702,17.47197491,1.6330047099999998
1645622453866976568,2,2,186.6666667,200.0,13.333333299999993
1650889088386385537,3,3,30.04723014,30.41984211,0.37261197000000124
1675133001511950511,1,1,74.03291653,74.03291653,0.0
1679362861371580711,3,3,55.95778911,68.07346008,12.115670970000004
1719341260972599938,2,2,2.232704297,2.293646681,0.06094238399999963
1724365474698390524,1,1,175.7228754,175.7228754,0.0
1735923447435509734,1,1,72.42641101,72.42641101,0.0
1754411915273910336,1,1,102.8983275,102.8983275,0.0
1770146112707379281,3,3,6.584644427,6.981791439,0.39714701200000047
1787412344397427871,3,3,61.97952194,63.52805071,1.5485287700000043
1825449701767930527,3,3,88.93581999,92.14540113,3.2095811399999974
1883178398849806838,3,3,19.07444155,19.50206661,0.42762506000000045
1896293482781350241,3,3,17.13795872,17.14715443,0.00919571000000019
1901889965020219711,3,3,19.38305426,19.88608896,0.5030346999999971
